GPS_TimeUS	GPS_Lng	GPS_Lat	GPS_Spd	BARO_Alt	AHR2_Roll	AHR2_Pitch	AHR2_Yaw	MSG_Message
108048039<class 'int'>	53.1576835<class 'float'>	56.470764499999994<class 'float'>	0.04200000315904617<class 'float'>	4.620051383972168<class 'float'>	-4.4<class 'str'>	1.17<class 'float'>	20.02<class 'float'>	b'EKF2 IMU0 in-flight yaw alignment complete\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
108653108<class 'int'>	53.157682799999996<class 'float'>	56.470764499999994<class 'float'>	0.14000000059604645<class 'float'>	6.182674407958984<class 'float'>	-4.2<class 'str'>	-0.01<class 'str'>	20.07<class 'float'>	b'EKF2 IMU0 in-flight yaw alignment complete\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
109240965<class 'int'>	53.1576824<class 'float'>	56.4707648<class 'float'>	0.0990000069141388<class 'float'>	7.349696636199951<class 'float'>	-4.48<class 'str'>	0.3<class 'float'>	20.02<class 'float'>	b'EKF2 IMU0 in-flight yaw alignment complete\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
109841524<class 'int'>	53.1576824<class 'float'>	56.4707648<class 'float'>	0.05900000408291817<class 'float'>	8.581709861755371<class 'float'>	-4.18<class 'str'>	-0.06<class 'str'>	20.11<class 'float'>	b'EKF2 IMU0 in-flight yaw alignment complete\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
110237596<class 'int'>	53.1576825<class 'float'>	56.4707649<class 'float'>	0.07100000232458115<class 'float'>	9.033824920654297<class 'float'>	-4.96<class 'str'>	0.01<class 'float'>	20.2<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
110859539<class 'int'>	53.157681499999995<class 'float'>	56.4707648<class 'float'>	0.2370000183582306<class 'float'>	10.59079647064209<class 'float'>	-9.620000000000001<class 'str'>	3.41<class 'float'>	20.28<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
111441369<class 'int'>	53.157676599999995<class 'float'>	56.4707637<class 'float'>	0.8440000414848328<class 'float'>	11.73238754272461<class 'float'>	-10.68<class 'str'>	4.28<class 'float'>	20.19<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
112044885<class 'int'>	53.1576659<class 'float'>	56.4707619<class 'float'>	1.4820001125335693<class 'float'>	12.102557182312012<class 'float'>	-10.620000000000001<class 'str'>	4.07<class 'float'>	15.860000000000001<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
112652475<class 'int'>	53.157650399999994<class 'float'>	56.470758499999995<class 'float'>	2.132000207901001<class 'float'>	13.439122200012207<class 'float'>	-11.39<class 'str'>	-1.9100000000000001<class 'str'>	343.72<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
113049932<class 'int'>	53.1576363<class 'float'>	56.4707558<class 'float'>	2.505000114440918<class 'float'>	14.337700843811035<class 'float'>	-6.08<class 'str'>	-7.15<class 'str'>	308.62<class 'float'>	b'Mission: 2 WP\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'<class 'str'>
